Date,Open,High,Low,Close,Volume
11/21/2001,64.36,64.60,63.48,64.05,25392600
11/23/2001,64.38,64.81,63.62,64.71,7877300
11/26/2001,64.99,65.71,64.40,65.14,20991800
11/27/2001,64.79,65.07,62.75,63.74,45409500
11/28/2001,63.17,64.12,62.73,62.80,27268300
11/29/2001,63.12,64.90,62.95,64.84,27017200
11/30/2001,64.66,65.08,63.93,64.21,24117100
12/03/2001,63.83,65.23,63.80,64.77,23605900
12/04/2001,65.00,66.08,64.10,66.00,25502900
12/05/2001,66.49,68.17,65.20,68.10,37121500
12/06/2001,67.98,69.00,67.55,68.65,28013100
12/07/2001,68.25,68.84,66.55,67.83,21167400
12/10/2001,67.52,68.45,66.86,67.06,19183700
12/11/2001,67.66,68.13,67.07,67.32,27167000
12/12/2001,67.16,67.98,66.25,67.95,23942100
12/13/2001,67.13,68.24,66.07,66.27,26613900
12/14/2001,66.02,67.95,65.93,67.44,21500300
12/17/2001,67.17,69.11,67.16,68.98,28539900
12/18/2001,68.92,69.40,68.60,69.27,23627600
12/19/2001,68.62,69.89,68.45,69.49,28498100
12/20/2001,69.15,69.25,66.62,66.76,39292500
12/21/2001,68.01,68.02,67.00,67.54,42153800
12/24/2001,67.72,68.03,67.20,67.27,5850800
12/26/2001,67.42,69.07,67.39,67.68,14664000
12/27/2001,67.98,68.71,67.26,67.85,16203300
12/28/2001,68.23,68.85,67.70,67.87,14393600
12/31/2001,67.84,68.48,66.25,66.25,21503100
01/02/2002,66.65,67.11,65.51,67.04,24062000
01/03/2002,67.11,69.25,67.09,69.23,33795400
01/04/2002,69.25,69.91,68.67,68.90,26365700
01/07/2002,69.75,70.02,68.35,68.56,29254400
01/08/2002,68.69,69.86,68.00,69.38,23868200
01/09/2002,69.72,70.62,68.55,68.71,38152000
01/10/2002,68.48,69.80,68.13,69.28,25148300
01/11/2002,69.52,70.32,68.10,68.61,36496600
01/14/2002,68.30,69.04,67.74,68.47,25498900
01/15/2002,68.66,69.62,68.50,69.55,30358700
01/16/2002,68.85,69.84,67.85,67.87,30977700
01/17/2002,68.53,70.00,68.40,69.86,39479000
01/18/2002,67.10,67.85,65.42,66.10,53570200
01/22/2002,66.61,66.63,64.25,64.46,38418600
01/23/2002,64.05,64.71,63.24,63.74,40201500
01/24/2002,64.10,65.18,63.80,64.60,41943000
01/25/2002,64.19,64.85,63.51,63.80,24490600
01/28/2002,64.23,64.40,62.91,63.82,20811000
01/29/2002,63.90,64.50,61.99,62.32,29333000
01/30/2002,62.45,62.90,61.33,62.85,33050000
01/31/2002,63.06,63.81,62.12,63.71,34783100
02/01/2002,64.15,64.50,62.47,62.66,31731100
02/04/2002,62.40,62.69,60.75,61.12,35154200
02/05/2002,60.80,62.23,60.50,61.15,33386300
02/06/2002,61.61,61.89,60.25,60.40,33051500
02/07/2002,60.30,61.61,59.75,59.80,31657000
02/08/2002,60.12,60.66,58.83,60.65,30641500
02/11/2002,60.01,61.24,59.59,61.13,25449800
02/12/2002,60.49,60.85,60.02,60.14,22486900
02/13/2002,60.26,61.88,59.95,61.82,27084300
02/14/2002,62.00,62.99,61.32,61.68,28633500
02/15/2002,61.70,62.06,60.20,60.23,25089900
02/19/2002,59.91,60.14,58.60,58.93,26131300
02/20/2002,59.40,60.36,58.80,59.90,25246000
02/21/2002,59.72,60.27,58.01,58.05,29699200
02/22/2002,58.05,58.75,57.15,57.99,35673900
02/25/2002,57.94,59.89,57.89,59.08,25916100
02/26/2002,59.10,60.00,57.90,58.55,31638100
02/27/2002,59.07,60.15,57.99,58.39,32875000
02/28/2002,58.78,59.70,58.14,58.34,34034000
03/01/2002,59.05,61.42,58.85,61.37,31057800
03/04/2002,61.24,63.50,60.87,63.30,37232100
03/05/2002,63.00,63.88,62.34,63.08,27963200
